Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
30,2023-10-29,CUST030,Female,39,Beauty,3,300,900
536,2023-03-05,CUST536,Female,55,Beauty,4,30,120
696,2023-09-06,CUST696,Female,50,Clothing,4,50,200
558,2023-10-08,CUST558,Female,41,Clothing,1,25,25
837,2023-07-01,CUST837,Male,18,Beauty,3,30,90
597,2023-08-22,CUST597,Male,22,Beauty,4,300,1200
166,2023-04-02,CUST166,Male,34,Clothing,4,500,2000
919,2023-09-09,CUST919,Female,22,Beauty,2,25,50
496,2023-12-14,CUST496,Male,23,Clothing,2,300,600
825,2023-08-26,CUST825,Female,46,Beauty,1,25,25
66,2023-04-27,CUST066,Female,45,Electronics,1,30,30
142,2023-02-02,CUST142,Male,35,Electronics,4,300,1200
926,2023-08-14,CUST926,Male,22,Electronics,1,30,30
828,2023-12-09,CUST828,Female,33,Electronics,4,300,1200
656,2023-10-04,CUST656,Male,29,Beauty,3,30,90
332,2023-04-06,CUST332,Male,58,Electronics,4,300,1200
665,2023-04-20,CUST665,Male,57,Clothing,1,50,50
250,2023-10-23,CUST250,Male,48,Electronics,1,50,50
908,2023-12-29,CUST908,Male,46,Beauty,4,300,1200
709,2023-07-21,CUST709,Female,19,Electronics,2,500,1000
306,2023-08-21,CUST306,Male,54,Electronics,1,50,50
735,2023-10-04,CUST735,Female,64,Clothing,4,500,2000
976,2023-10-10,CUST976,Female,48,Beauty,2,300,600
50,2023-08-24,CUST050,Female,27,Beauty,3,25,75
897,2023-09-26,CUST897,Female,64,Electronics,2,50,100
3,2023-01-13,CUST003,Male,50,Electronics,1,30,30
545,2023-06-01,CUST545,Male,27,Clothing,2,25,50
351,2023-09-25,CUST351,Female,56,Clothing,3,30,90
905,2023-04-02,CUST905,Male,58,Beauty,1,300,300
537,2023-06-03,CUST537,Female,21,Beauty,1,500,500
345,2023-11-14,CUST345,Male,62,Electronics,1,30,30
995,2023-04-30,CUST995,Female,41,Clothing,1,30,30
482,2023-04-27,CUST482,Female,28,Clothing,4,300,1200
576,2023-12-04,CUST576,Female,33,Beauty,3,50,150
34,2023-12-24,CUST034,Female,51,Clothing,3,50,150
32,2023-01-04,CUST032,Male,30,Beauty,3,30,90
232,2023-02-06,CUST232,Female,43,Beauty,1,25,25
964,2023-01-31,CUST964,Male,24,Clothing,3,300,900
193,2023-02-13,CUST193,Male,35,Beauty,3,500,1500
334,2023-11-01,CUST334,Male,31,Electronics,3,300,900
4,2023-05-21,CUST004,Male,37,Clothing,1,500,500
205,2023-11-07,CUST205,Female,43,Clothing,1,25,25
515,2023-07-17,CUST515,Female,49,Clothing,3,300,900
800,2023-02-24,CUST800,Male,32,Clothing,4,300,1200
307,2023-05-27,CUST307,Female,26,Electronics,2,25,50
110,2023-06-11,CUST110,Male,27,Clothing,3,300,900
431,2023-10-15,CUST431,Male,63,Electronics,4,300,1200
78,2023-07-01,CUST078,Female,47,Clothing,3,500,1500
85,2023-02-06,CUST085,Male,31,Clothing,3,50,150
287,2023-02-20,CUST287,Male,54,Clothing,4,25,100
83,2023-12-16,CUST083,Male,54,Electronics,2,50,100
992,2023-08-21,CUST992,Female,57,Electronics,2,30,60
790,2023-08-08,CUST790,Male,62,Clothing,1,25,25
895,2023-05-22,CUST895,Female,55,Clothing,4,30,120
399,2023-03-01,CUST399,Female,64,Beauty,2,30,60
324,2023-10-27,CUST324,Female,52,Electronics,3,50,150
520,2023-12-29,CUST520,Female,49,Electronics,4,25,100
917,2023-03-06,CUST917,Female,57,Electronics,4,50,200
923,2023-05-26,CUST923,Male,32,Beauty,3,300,900
6,2023-04-25,CUST006,Female,45,Beauty,1,30,30
732,2023-02-11,CUST732,Male,61,Electronics,2,500,1000
466,2023-06-20,CUST466,Male,63,Electronics,4,25,100
98,2023-04-23,CUST098,Female,55,Beauty,2,50,100
267,2023-11-27,CUST267,Female,32,Beauty,3,30,90
358,2023-05-16,CUST358,Female,32,Beauty,1,300,300
869,2023-10-25,CUST869,Male,37,Beauty,3,500,1500
799,2023-09-08,CUST799,Male,56,Electronics,2,50,100
381,2023-07-09,CUST381,Female,44,Clothing,4,25,100
632,2023-09-16,CUST632,Female,26,Electronics,4,25,100
382,2023-05-26,CUST382,Female,53,Clothing,2,500,1000
491,2023-05-23,CUST491,Female,60,Electronics,3,300,900
119,2023-03-13,CUST119,Female,60,Clothing,3,50,150
901,2023-04-10,CUST901,Male,31,Electronics,1,30,30
251,2023-08-31,CUST251,Female,57,Beauty,4,50,200
524,2023-10-03,CUST524,Male,46,Beauty,4,300,1200
10,2023-10-07,CUST010,Female,52,Clothing,4,50,200
197,2023-03-06,CUST197,Female,42,Clothing,4,50,200
604,2023-09-11,CUST604,Female,29,Electronics,4,50,200
82,2023-12-26,CUST082,Female,32,Beauty,4,50,200
784,2023-11-04,CUST784,Female,34,Electronics,1,500,500
588,2023-04-26,CUST588,Male,38,Electronics,2,30,60
798,2023-08-04,CUST798,Male,61,Clothing,1,50,50
240,2023-02-06,CUST240,Female,23,Beauty,1,300,300
291,2023-01-08,CUST291,Male,60,Clothing,2,300,600
212,2023-06-09,CUST212,Male,21,Clothing,3,500,1500
718,2023-08-25,CUST718,Female,59,Beauty,3,25,75
360,2023-03-09,CUST360,Male,42,Clothing,4,25,100
450,2023-04-18,CUST450,Female,59,Beauty,2,25,50
228,2023-04-28,CUST228,Female,59,Electronics,2,30,60
951,2023-11-02,CUST951,Male,33,Beauty,2,50,100
947,2023-03-02,CUST947,Male,50,Beauty,1,300,300
